Customer_ID,Customer_Name,Email,Phone_Number,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season,Season_Number
23,Brian Santiago,jgarcia@yahoo.com,148-151-9267,Cardigan,2,2010,4020,2024-11-14,Autumn,3
24,Amanda Baker,ronniefisher@yahoo.com,001-465-899-6539x38663,Shorts,1,3828,3828,2024-08-28,Summer,0
25,Mark Davis,villegasjoseph@martin-walker.org,001-794-998-1087x71124,Full-Sleeve Shirt,3,4202,12606,2025-09-03,Autumn,3
26,William Sanders,wcox@yahoo.com,+1-809-493-2887x8667,Boots,3,703,2109,2024-01-17,Winter,1
27,Melanie Nelson,patrickwest@spencer-johnson.info,+1-761-155-9220,Sandals,4,1223,4892,2023-08-13,Summer,0
28,Adriana Lucas,gene83@schultz.com,044-537-8114x42416,Waterproof Shoes,4,2765,11060,2023-08-03,Monsoon,4
29,Emily Russell,masonowen@yahoo.com,001-435-207-4079x4975,Sandals,2,1545,3090,2024-07-16,Summer,0
30,Karen Hansen,dcarrillo@hotmail.com,+1-797-436-3060,Umbrella,1,3165,3165,2024-08-24,Monsoon,4
31,Margaret Hall,cunninghamkim@gmail.com,534-494-2841,T-Shirt,4,3940,15760,2023-03-19,Spring,2
32,Justin Macias,usmith@watson.info,001-933-991-5195x98877,Jeans,5,4921,24605,2023-03-03,Spring,2
33,Vincent Solis,laurie13@yahoo.com,404-960-5948x003,Boots,1,2334,2334,2024-01-22,Winter,1
34,Tina Carter,trevorbarron@scott.org,+1-042-112-2952x36902,Sneakers,5,2516,12580,2024-05-22,Spring,2
35,Olivia Parrish,ystein@park-lawrence.org,3918735551,Raincoat,4,600,2400,2023-09-16,Monsoon,4
36,Brittney Cox,egraham@young.com,033-538-0871,Raincoat,3,1475,4425,2024-07-28,Monsoon,4
37,Shaun Caldwell,tonya01@hotmail.com,472.414.7342x361,Loafers,4,4491,17964,2024-11-07,Autumn,3
38,Edward Brown,michaelmartin@gonzalez.net,(266)152-5177,Scarf,2,2279,4558,2024-02-12,Winter,1
39,Lisa Sweeney,austin64@williams-ruiz.info,429-823-9138x4665,Scarf,1,2108,2108,2023-12-08,Winter,1
40,Joseph Rodriguez,andreahill@hartman-bowman.info,971-826-3818x248,Loafers,1,1283,1283,2024-11-28,Autumn,3
41,Sabrina Martinez,kimberly57@gmail.com,001-423-738-1275,Sneakers,4,4184,16736,2024-05-01,Spring,2
42,Gerald Phillips,wford@stevens.com,(601)179-8040x7448,Tank Top,1,1119,1119,2024-08-16,Summer,0
43,Daniel Holmes,robert28@martinez-dominguez.com,4499399967,Shorts,3,568,1704,2024-06-16,Summer,0
44,Lynn Olsen,laceylane@jones.org,7060396094,Sweater,3,652,1956,2023-02-26,Winter,1
45,Denise Rodriguez,rachel14@gmail.com,+1-001-363-6971x33850,Light Jacket,3,903,2709,2025-05-06,Spring,2
46,Amanda Kim,victorlawson@carpenter-martinez.com,8038955386,Tank Top,2,1600,3200,2024-07-06,Summer,0
47,Chris Roach,matthew72@turner.biz,(446)464-1272x2141,Full-Sleeve Shirt,4,594,2376,2024-09-25,Autumn,3
48,Holly Davenport,rachel68@johnson.com,+1-014-064-8895x73651,Tank Top,4,4917,19668,2023-07-17,Summer,0
49,Tracy Gates,andersonbridget@johnson.com,108.799.4707x534,Boots,2,3135,6270,2024-02-25,Winter,1
50,James Cannon,sarahbowers@yahoo.com,+1-127-237-5176x62063,Loafers,1,4296,4296,2024-10-09,Autumn,3
51,Amanda Schwartz,lmcfarland@tanner.org,601-615-2648x54273,Sweater,2,2018,4036,2024-12-20,Winter,1
52,Kelly Miller,yfarley@hotmail.com,258.187.0676,Cardigan,1,2671,2671,2024-10-12,Autumn,3
53,Steven Webb,lsmith@smith.com,7159687879,Light Jacket,1,2667,2667,2023-05-14,Spring,2
54,Corey Mora,justin75@gmail.com,+1-913-742-9035,Waterproof Shoes,5,2172,10860,2023-09-26,Monsoon,4
55,Jade Hunter,hammondmelanie@hotmail.com,001-117-956-9082x003,Sunglasses,4,1820,7280,2024-07-28,Summer,0
56,Nancy Carrillo,justin22@gmail.com,(738)228-1870x38783,Blazer,4,2063,8252,2023-09-28,Autumn,3
57,Kylie Chen,donna25@hotmail.com,001-278-490-7702,Umbrella,2,4427,8854,2024-06-13,Monsoon,4
58,Sean Hill,conwayamber@brooks.net,381-474-2042x315,Sandals,2,2625,5250,2024-06-18,Summer,0
59,Jessica Mills,oscott@gmail.com,077.975.2523x222,Boots,1,4321,4321,2023-12-20,Winter,1
60,Patrick Dennis,michael86@hotmail.com,001-810-636-6622x162,Jacket,4,3606,14424,2024-01-10,Winter,1
61,Jason Bailey,nsmith@hotmail.com,280-162-2862x6993,Sneakers,4,1208,4832,2023-05-03,Spring,2
62,Kelly Daniels,raymondkyle@gmail.com,406-879-2341x850,Sandals,3,1303,3909,2023-06-01,Summer,0
63,Vanessa Ferguson,eblack@hotmail.com,(763)902-2320,T-Shirt,3,4652,13956,2023-05-16,Spring,2
64,Michael Bradley,tyu@kelley.com,597-462-2013x2382,Light Jacket,3,3250,9750,2024-03-15,Spring,2
65,Terry Smith,xhoward@hotmail.com,(109)789-9424x419,Sunglasses,4,3245,12980,2024-06-22,Summer,0
66,Ronald Smith,mvance@yahoo.com,140-246-5753x4529,Light Jacket,3,4836,14508,2024-05-20,Spring,2
67,Rodney Vargas,dsmith@hotmail.com,(980)525-9644,Sunglasses,2,933,1866,2024-06-13,Summer,0
68,Gary Carter,daycheryl@valenzuela.com,617.295.1814,Sunglasses,3,795,2385,2023-08-11,Summer,0
69,Edwin May,christineallen@hotmail.com,316.213.7670,Jeans,4,2570,10280,2023-05-22,Spring,2
70,Mary Lopez,dustinjohnson@hotmail.com,161.119.4346,Waterproof Shoes,3,3373,10119,2024-06-12,Monsoon,4
71,Monica Green,chenann@hotmail.com,946-318-3586,Full-Sleeve Shirt,4,2133,8532,2024-10-28,Autumn,3
72,Jeffrey Fletcher,morristracie@yahoo.com,478-401-0018x05673,Blazer,3,514,1542,2023-09-22,Autumn,3
73,Kim Logan,victoriacummings@goodwin.com,001-252-331-9809x9912,Sweater,1,2955,2955,2024-12-08,Winter,1
74,Jody Black,emmaduncan@hotmail.com,952.384.0857,Light Jacket,3,3213,9639,2023-04-12,Spring,2
75,Anthony Ray,derekedwards@young-weiss.com,229.810.3463,Boots,5,1461,7305,2024-12-03,Winter,1
76,Scott Sparks,brandon91@hotmail.com,+1-794-107-8814x7719,Sweater,4,3805,15220,2024-12-12,Winter,1
77,Stephen Camacho,hannah66@johnston.net,(702)072-0516x416,Loafers,4,4683,18732,2023-11-01,Autumn,3
78,Michael Alvarado,ramospatricia@hotmail.com,(503)252-1283,Blazer,3,3240,9720,2024-11-22,Autumn,3
79,Danielle Jenkins,rachelhudson@hotmail.com,6452877659,Boots,1,2216,2216,2024-02-04,Winter,1
80,Mrs. Robin Dunn PhD,melissa03@gmail.com,001-901-728-5848x21275,Umbrella,4,1111,4444,2024-06-24,Monsoon,4
81,Sean Gonzalez,dennisstout@hotmail.com,856-031-7804x52485,Light Jacket,4,3049,12196,2023-03-14,Spring,2
82,Christina Burke,dannyarnold@hotmail.com,+1-325-975-7864x2939,Waterproof Shoes,4,1093,4372,2024-07-18,Monsoon,4
83,David Adkins,stephanie80@yahoo.com,001-932-028-2779x970,Sandals,4,2611,10444,2023-08-07,Summer,0
84,Vanessa Owens,drewortiz@gmail.com,+1-707-906-3239x176,Loafers,4,4274,17096,2024-10-28,Autumn,3
85,Kiara Thomas,michaelboyd@yahoo.com,(888)817-6055,Cardigan,3,4980,14940,2023-09-02,Autumn,3
86,Tabitha Robinson,cameronandrew@gmail.com,001-779-401-7068x8914,Sunglasses,3,4008,12024,2023-06-25,Summer,0
87,Jeffrey Knight,monica39@martinez.com,001-494-869-2539x5405,Jeans,3,4146,12438,2024-03-07,Spring,2
88,Sharon Brooks,kerri43@hotmail.com,060.005.1115x045,Waterproof Shoes,1,1599,1599,2025-06-01,Monsoon,4
89,Joshua Hopkins,luismyers@roberts-dominguez.com,804-857-1630,Blazer,2,4099,8198,2023-10-07,Autumn,3
90,Kenneth Contreras,brittanyrogers@yahoo.com,(071)034-1092x246,Cardigan,1,3499,3499,2023-09-09,Autumn,3
91,Samantha Moreno,ogarza@gmail.com,001-603-293-5308x1030,Jeans,1,4301,4301,2023-03-01,Spring,2
92,Christopher Scott,cwelch@hotmail.com,875-511-4227,Loafers,3,3963,11889,2023-09-27,Autumn,3
93,Arthur Young,jenniferhernandez@yahoo.com,3725727308,Sneakers,2,4737,9474,2024-05-08,Spring,2
94,Amanda Grimes,jennifer14@hotmail.com,985-976-9339,Scarf,3,4322,12966,2024-01-20,Winter,1
95,Kenneth Williams,angela59@obrien-rivera.com,846.461.7728x520,Cardigan,2,3392,6784,2025-11-05,Autumn,3
96,John Monroe,ryan51@smith.com,+1-103-275-5698x71624,Scarf,3,549,1647,2023-12-26,Winter,1
97,Regina Savage,angelawashington@hopkins.org,4967081028,Boots,4,3786,15144,2024-02-28,Winter,1
98,Kimberly Carr,ryan60@cordova.org,001-495-294-6821x6770,Jacket,2,2447,4894,2023-12-23,Winter,1
99,Laura Schaefer,tsmith@gmail.com,993.250.0277,Full-Sleeve Shirt,5,1337,6685,2023-10-24,Autumn,3
100,Zachary Velez,barnesjasmine@phillips.net,+1-305-552-3140x0633,Umbrella,4,3871,15484,2024-06-24,Monsoon,4
101,Ronald Sullivan,mwalker@larsen-contreras.com,+1-461-650-4459x969,Sunglasses,4,4536,18144,2024-07-20,Summer,0
102,Virginia Berry,elizabeth51@yahoo.com,951.734.7183x060,Blazer,5,4726,23630,2024-09-27,Autumn,3
103,Kathryn Palmer,phillipmurphy@yahoo.com,298-307-3601,Sneakers,3,4095,12285,2023-05-14,Spring,2
104,Charles Jones,tanya46@hotmail.com,5269251037,Light Jacket,1,1530,1530,2024-05-23,Spring,2
105,Shannon Williams,karen45@yahoo.com,470-915-5560x9486,Light Jacket,1,3355,3355,2023-04-07,Spring,2
106,Lawrence Johnson,walkerrobert@brown.com,417-018-2107,T-Shirt,5,979,4895,2024-03-17,Spring,2
107,Jack Evans,eddie13@yahoo.com,001-851-355-6084x331,Raincoat,2,3168,6336,2024-09-28,Monsoon,4
108,Mark Coleman,paul84@williams-johnson.com,(588)741-9222,Sweater,5,2376,11880,2023-02-11,Winter,1
109,Ellen Robinson,melissa15@gmail.com,001-384-021-9419x0224,T-Shirt,3,693,2079,2024-05-12,Spring,2
110,Billy Kelly,mmayo@bell.com,(560)386-3102x890,Waterproof Shoes,1,3571,3571,2024-06-28,Monsoon,4
111,Julia Dixon,kathybanks@matthews.org,+1-375-419-9333x173,Tank Top,4,2708,10832,2023-07-16,Summer,0
112,Matthew Walters,theresajackson@yahoo.com,(532)271-4483x92286,Sunglasses,3,2260,6780,2024-06-07,Summer,0
113,Jessica Rowe,mdavis@miller.info,123-552-0354,Boots,5,2606,13030,2025-01-04,Winter,1
114,Ronald Gutierrez,antonio41@todd.com,491-556-5430,Umbrella,4,3371,13484,2023-07-26,Monsoon,4
115,Abigail Dominguez,evanskatherine@horton.com,001-939-304-1423x57507,Sweater,5,3564,17820,2023-01-01,Winter,1
116,Patricia Blackwell,baldwingeorge@vasquez.biz,355-260-8885,Light Jacket,2,2248,4496,2024-04-07,Spring,2
117,Lisa Taylor,dominguezsamantha@peters.net,+1-405-590-5527x071,Blazer,2,2510,5020,2024-09-15,Autumn,3
118,Vanessa Richard,peterskara@hotmail.com,135-133-7471,Scarf,4,2435,9740,2023-01-21,Winter,1
119,Jordan Garcia,meyerlori@gmail.com,001-972-187-3094,Blazer,4,4073,16292,2023-10-12,Autumn,3
120,Tommy Baldwin,michellespencer@delgado.com,4480966229,Umbrella,3,3009,9027,2023-07-09,Monsoon,4
121,Lisa Morales,toni65@dean.com,(878)793-3737,Blazer,5,648,3240,2023-09-26,Autumn,3
122,Brian Whitaker,epowers@hotmail.com,(268)367-9257x85303,Scarf,1,3144,3144,2024-01-01,Winter,1
123,Lindsey Kaufman,paulbrooks@cain-kelley.com,351.948.7989x6682,Waterproof Shoes,1,4758,4758,2024-07-07,Monsoon,4
124,Tyler Johnson,travisstewart@hotmail.com,388.022.6775x08902,Full-Sleeve Shirt,1,4590,4590,2024-10-28,Autumn,3
125,Austin Hart,kristin84@nunez.com,0563218891,T-Shirt,4,3332,13328,2024-03-25,Spring,2
126,Brian Moore,danielle01@yahoo.com,+1-801-086-4436,Scarf,5,3405,17025,2024-12-28,Winter,1
127,Melissa Hudson,amaxwell@gmail.com,104.936.8073,Waterproof Shoes,1,2446,2446,2024-06-05,Monsoon,4
128,Christina Curtis,tsteele@taylor.org,(268)783-9754x42368,Loafers,3,951,2853,2023-10-13,Autumn,3
129,Zachary Sullivan,juan95@yahoo.com,183-343-9032,Shorts,2,4063,8126,2024-07-19,Summer,0
130,Jack Lewis,floresgary@anderson.net,001-968-290-2505x123,Raincoat,1,1560,1560,2023-06-09,Monsoon,4
131,Zachary Avila,ronald09@gmail.com,396-115-5495x42816,Tank Top,3,1861,5583,2024-06-17,Summer,0
132,Laura Johnson,james10@hotmail.com,(135)142-2161,Boots,4,612,2448,2023-12-04,Winter,1
133,Krystal Little,fstevens@boyer.com,006.018.2304,Loafers,2,4920,9840,2024-09-21,Autumn,3
134,Lisa Gibbs,ljones@parrish.org,254-892-0837x65698,Blazer,1,2216,2216,2023-10-18,Autumn,3
135,Jennifer Miles,amy48@anderson.biz,001-964-076-8393x98903,Boots,4,4566,18264,2024-01-28,Winter,1
136,Mr. Ryan May,martinmia@yahoo.com,184.396.2232,Umbrella,1,1293,1293,2024-07-09,Monsoon,4
137,Gary Perez,vhogan@chavez.com,+1-534-865-9533x68587,Raincoat,4,1487,5948,2024-07-03,Monsoon,4
138,Susan Lopez,fraziercynthia@hotmail.com,213-294-2431x6070,Tank Top,1,3284,3284,2024-07-18,Summer,0
139,Audrey Li,mary03@nguyen-haynes.biz,450-740-0857,Full-Sleeve Shirt,2,3969,7938,2024-10-27,Autumn,3
140,Stephanie Goodman,kaylarose@arnold.com,+1-549-998-5062x3209,Umbrella,2,1001,2002,2024-07-04,Monsoon,4
141,Breanna Hayes,nguyenlinda@smith-charles.com,1892029987,Raincoat,2,1522,3044,2023-06-22,Monsoon,4
142,Sonia Mccormick,blankenshipcolleen@sullivan-patrick.biz,364-049-6782x9429,Jeans,2,3546,7092,2025-05-08,Spring,2
143,Gary Allen,louis18@robbins.com,568-369-9108,Sneakers,5,4052,20260,2023-03-05,Spring,2
144,Denise Schultz,michaelpratt@gmail.com,001-483-186-2781x43479,Waterproof Shoes,3,2917,8751,2023-09-28,Monsoon,4
145,Tammy Elliott,carla93@hotmail.com,001-201-834-4756,Loafers,3,721,2163,2025-10-07,Autumn,3
146,Terry Meyers,matthewwheeler@williams.net,(431)462-0115x6585,Jeans,2,1941,3882,2024-03-12,Spring,2
147,Mary Sullivan,jose12@hotmail.com,+1-340-225-1518x5956,Boots,3,3105,9315,2023-12-10,Winter,1
148,Krista House,mirandamichelle@gmail.com,320-716-7624x8686,Umbrella,5,4222,21110,2025-08-08,Monsoon,4
149,Sean Mcdowell,johnpowell@fowler.com,001-253-177-8772x410,Scarf,2,2776,5552,2024-01-22,Winter,1
150,Nicole Reyes,brian54@hotmail.com,(326)120-1215,Tank Top,3,4336,13008,2024-06-15,Summer,0
151,Darren Burnett,johnstevens@obrien-perez.com,3137910786,Scarf,3,4369,13107,2023-02-21,Winter,1
152,Christopher Meyer,uwashington@hicks-barajas.info,608-061-5044x932,Blazer,2,2984,5968,2024-09-16,Autumn,3
153,Rebecca Mcclain,andrewhudson@hotmail.com,+1-264-447-8532x009,Raincoat,5,1080,5400,2024-08-03,Monsoon,4
154,Larry Thomas,andrewsbrianna@pham.net,(373)164-3662,Boots,2,3788,7576,2023-12-28,Winter,1
155,Samuel Malone,scurtis@wong-duncan.info,879.426.6938,Sneakers,1,500,500,2024-04-13,Spring,2
156,Ronald Tucker,jaygreene@barry-brown.info,375.884.8730x28317,Scarf,3,1646,4938,2024-02-21,Winter,1
157,Robert Davis,rebecca68@cruz.com,010-153-0018x10081,T-Shirt,5,4832,24160,2024-03-23,Spring,2
158,Megan Reed,kellerryan@yahoo.com,846-797-5953x551,Raincoat,3,1040,3120,2023-09-15,Monsoon,4
159,Mr. Michael Schultz,danielle85@holder-donaldson.org,5775580339,Boots,1,3934,3934,2023-01-24,Winter,1
160,Sarah Miller,jessicahill@anthony-vincent.net,866.927.6808x3084,Jacket,4,1082,4328,2024-02-26,Winter,1
161,Elizabeth Hampton,pamela72@williams.net,396.984.3429,Boots,1,3653,3653,2024-01-17,Winter,1
162,Cynthia Smith,oterrell@gmail.com,924.514.3501x56667,Cardigan,2,3483,6966,2024-10-02,Autumn,3
163,Amanda Jones,williamsmatthew@yahoo.com,+1-777-199-5889x25937,Umbrella,2,4189,8378,2024-09-28,Monsoon,4
164,Eric Dennis,amy39@massey.com,321-393-0732,Shorts,5,3586,17930,2023-08-23,Summer,0
165,Lauren Smith,allendarin@hotmail.com,+1-163-621-2666x942,Sneakers,4,2759,11036,2023-04-23,Spring,2
166,Alex Warren,joan62@hotmail.com,8521847384,Waterproof Shoes,5,3386,16930,2023-08-04,Monsoon,4
167,Kaitlyn Ferguson,jamescain@hall-collins.biz,001-502-383-1475,Blazer,1,4267,4267,2023-11-28,Autumn,3
168,Christopher Nichols,schmidtdavid@douglas.com,001-538-253-8739x884,Sandals,5,849,4245,2023-06-20,Summer,0
169,Edwin Williams,kevin05@owens-ortiz.com,743-046-3499,Sweater,2,1316,2632,2024-02-14,Winter,1
170,Mary Molina,amandamontes@campbell.info,735-462-0120x28314,Shorts,2,3502,7004,2024-06-25,Summer,0
171,Arthur Johnston,vrojas@lopez-sanders.com,+1-113-342-0931x86000,Loafers,2,1381,2762,2024-10-20,Autumn,3
172,Jacqueline Wilson,margaretryan@gmail.com,883.305.9708,Loafers,3,2675,8025,2023-11-06,Autumn,3
173,Lauren Smith,williamjones@hotmail.com,(370)982-1697x290,Sandals,3,1662,4986,2024-06-04,Summer,0
174,Brittany Jones,stephenwillis@lawrence.com,001-772-001-9028,Jeans,4,1688,6752,2024-05-28,Spring,2
175,Lori Mack,lisa84@perry-alvarado.net,+1-843-334-4664,Full-Sleeve Shirt,1,4494,4494,2024-11-07,Autumn,3
176,Thomas Russell,amandawilson@hotmail.com,852.203.0433x863,Cardigan,2,621,1242,2024-10-24,Autumn,3
177,Jeffrey Cain,andrewandrews@lawrence.com,+1-773-034-3118x648,Scarf,4,3486,13944,2024-12-27,Winter,1
178,Mark Gibson,kelsey58@davis-martin.com,368-039-8738x1081,Full-Sleeve Shirt,3,4566,13698,2024-11-19,Autumn,3
179,Sarah Keith,brendastephens@ayers.info,068.713.4194x9773,T-Shirt,4,2628,10512,2023-05-07,Spring,2
180,Samantha Mcdowell,vjones@perez.com,322.239.5989x865,Blazer,5,1357,6785,2024-10-19,Autumn,3
181,Ryan Duncan,nicholas48@gmail.com,001-922-352-9337x558,Blazer,2,2818,5636,2023-11-04,Autumn,3
182,Ashley Little,chamberstravis@woodard.com,784-014-4400x835,Sneakers,2,1174,2348,2023-03-14,Spring,2
183,Brianna Sanders,hjackson@gmail.com,+1-736-428-3288x56732,Shorts,3,2027,6081,2023-06-25,Summer,0
184,Nicole Spencer,johnhenderson@howell-scott.net,862-555-0574,Sneakers,1,3139,3139,2023-05-09,Spring,2
185,Marcus Patton,rwheeler@hotmail.com,1338068104,Cardigan,1,4583,4583,2024-09-11,Autumn,3
186,Melissa Walker,john32@hotmail.com,657-624-6903,Tank Top,2,2662,5324,2024-07-04,Summer,0
187,Ryan Lee,mary73@hotmail.com,(739)954-2803,Waterproof Shoes,2,3132,6264,2024-07-08,Monsoon,4
188,James Hutchinson,sarahlee@mercer.com,3982342912,Blazer,5,2554,12770,2023-09-28,Autumn,3
189,Jessica Smith,adam58@stewart.com,731.597.9729x09140,Full-Sleeve Shirt,1,1901,1901,2024-10-01,Autumn,3
190,Angela King,jjohnson@wright-chavez.com,001-102-461-4550x79794,Cardigan,4,4886,19544,2023-09-13,Autumn,3
191,Luis Carlson,katherine48@garza.info,536-111-6837,Boots,1,4404,4404,2023-01-11,Winter,1
192,Brandon Beasley,hallamanda@parker-schwartz.com,001-993-044-7067x265,Loafers,3,3057,9171,2024-10-13,Autumn,3
193,Paige Graham,justinsullivan@hamilton.com,(208)956-7973x4984,Raincoat,5,3016,15080,2023-06-24,Monsoon,4
194,Alejandro Evans,sherithomas@pena-reid.com,493-944-1911,T-Shirt,2,3172,6344,2023-03-28,Spring,2
195,Carl Warner,varcher@yahoo.com,679-168-0404,Sweater,1,1615,1615,2023-02-26,Winter,1
196,Kristine Martinez,turnercharles@hotmail.com,(533)067-6414x75294,Waterproof Shoes,4,1360,5440,2024-09-22,Monsoon,4
197,Edward Ellison,wrightjeffery@hotmail.com,491.379.9712x83918,Cardigan,3,4811,14433,2024-11-08,Autumn,3
198,Ryan Moore,kathleen00@zimmerman.biz,(506)748-1189x90292,Sneakers,3,1498,4494,2024-04-23,Spring,2
199,Stephanie Fischer,ochoakenneth@yahoo.com,(576)262-5482,Loafers,2,2002,4004,2025-09-27,Autumn,3
200,Nicole Lewis,timothyortega@hotmail.com,0622363819,Shorts,5,3899,19495,2023-06-28,Summer,0
201,Tracy Ford,powellzachary@gmail.com,(500)369-0893x29575,Jeans,1,1735,1735,2024-04-17,Spring,2
202,Anna Berg,ericksongary@walker.com,9715570728,Sneakers,2,2803,5606,2024-05-24,Spring,2
203,Ms. Brooke Petersen,sarahlawson@bautista-anthony.net,029-229-3588x8380,Loafers,5,2525,12625,2024-11-07,Autumn,3
204,Amanda Clark,smithwayne@gmail.com,256-607-9591,Blazer,4,3753,15012,2023-10-21,Autumn,3
205,Christy Miller,mreynolds@martin.com,001-760-851-1074x7248,Light Jacket,2,970,1940,2024-05-15,Spring,2
206,Holly Mcfarland,thomassmith@gmail.com,001-718-478-2707x47436,Light Jacket,1,671,671,2023-04-21,Spring,2
207,Kenneth Prince,qford@rogers.com,+1-559-892-5269x044,Sweater,1,2936,2936,2024-01-09,Winter,1
208,Christopher Rubio,turnercindy@carpenter.com,(345)237-7711,Full-Sleeve Shirt,3,1001,3003,2023-10-13,Autumn,3
209,Dylan Johnson,woodmatthew@hotmail.com,266.039.4931x13384,Light Jacket,5,2650,13250,2023-04-11,Spring,2
210,Peter Banks,kelli05@hensley-mitchell.info,231.680.4449x1876,Sandals,4,4337,17348,2024-08-20,Summer,0
211,Becky Goodwin,jthompson@hotmail.com,+1-434-124-9790,T-Shirt,4,930,3720,2024-03-22,Spring,2
212,Lori Reed,matthewclements@marshall.com,(512)859-7240x864,Sweater,4,2246,8984,2023-12-20,Winter,1
213,Jonathan Garcia,zachary62@hotmail.com,+1-204-086-5378x294,Loafers,5,2807,14035,2024-10-17,Autumn,3
214,Robert Copeland,mitchellkevin@hotmail.com,968-306-0259,Sunglasses,1,2078,2078,2023-08-03,Summer,0
215,Angela Henderson,danastevens@gmail.com,531.850.4558,Raincoat,2,3027,6054,2023-09-25,Monsoon,4
216,Andrew Irwin,russellreilly@yahoo.com,(007)206-3212x77785,Sweater,4,2567,10268,2024-12-11,Winter,1
217,Sandra Wilson,john93@hotmail.com,+1-767-651-6686x512,Shorts,2,3839,7678,2024-08-01,Summer,0
218,Mary Swanson,leonardwatson@hotmail.com,(021)750-8200x0144,Full-Sleeve Shirt,5,2223,11115,2025-09-08,Autumn,3
219,Michael Davis,martinezcynthia@parker.com,8152724857,Sweater,1,2288,2288,2023-12-12,Winter,1
220,Traci Little,charlottedixon@miller.com,1082299274,Umbrella,3,3093,9279,2023-06-23,Monsoon,4
221,Diana Barrett,ovillarreal@ward.com,001-354-936-2682,Sunglasses,5,1821,9105,2023-07-24,Summer,0
222,Kristie Sullivan,wendyholmes@grant.com,542.633.1039x1641,Raincoat,4,3227,12908,2024-09-16,Monsoon,4
223,Kelly Rodriguez,campbelldiana@lawson.com,+1-405-976-3999x6178,Tank Top,3,998,2994,2024-07-19,Summer,0
224,Jessica Acevedo,clarkjustin@gmail.com,(343)093-3584x85947,Light Jacket,2,3395,6790,2023-04-20,Spring,2
225,Barry Norris,james45@yahoo.com,001-693-819-5352,Waterproof Shoes,3,1315,3945,2024-07-16,Monsoon,4
226,Lindsay Cooley,emily17@rodriguez.com,371-973-7188,Sandals,1,3698,3698,2023-08-21,Summer,0
227,Jordan Ortega,bakerapril@hotmail.com,004-864-7811x98376,Tank Top,3,1862,5586,2024-08-07,Summer,0
228,Dawn Andrews,kmiller@gmail.com,(501)891-0253x7434,Full-Sleeve Shirt,5,2736,13680,2024-10-10,Autumn,3
229,William Barnes,tgraham@luna-kidd.info,001-041-559-2218x685,Raincoat,5,3950,19750,2024-06-11,Monsoon,4
230,Robert Jackson,tony57@lewis.net,357.974.1290x983,Sneakers,5,1686,8430,2024-05-04,Spring,2
231,Dalton Daniels,bradfordjill@watson.com,470.785.9027,Sneakers,3,2255,6765,2024-04-28,Spring,2
