Customer_ID,Customer_Name,Email,Phone_Number,Product,Quantity,Price_Per_Item,Total_Price,Purchase_Date,Season,Season_Number,Recency,Avg_Order_Value,Cluster_Label,Segment,Suggested_Campaign
74,Jody Black,emmaduncan@hotmail.com,952.384.0857,Light Jacket,3,3213,9639,2023-04-12,Spring,2,718,3213.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
75,Anthony Ray,derekedwards@young-weiss.com,229.810.3463,Boots,5,1461,7305,2024-12-03,Winter,1,117,1461.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
76,Scott Sparks,brandon91@hotmail.com,+1-794-107-8814x7719,Sweater,4,3805,15220,2024-12-12,Winter,1,108,3805.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
77,Stephen Camacho,hannah66@johnston.net,(702)072-0516x416,Loafers,4,4683,18732,2023-11-01,Autumn,3,515,4683.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
78,Michael Alvarado,ramospatricia@hotmail.com,(503)252-1283,Blazer,3,3240,9720,2024-11-22,Autumn,3,128,3240.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
79,Danielle Jenkins,rachelhudson@hotmail.com,6452877659,Boots,1,2216,2216,2024-02-04,Winter,1,420,2216.0,2,Lost Customers,Re-engagement Emails & Offers
80,Mrs. Robin Dunn PhD,melissa03@gmail.com,001-901-728-5848x21275,Umbrella,4,1111,4444,2024-06-24,Monsoon,4,279,1111.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
81,Sean Gonzalez,dennisstout@hotmail.com,856-031-7804x52485,Light Jacket,4,3049,12196,2023-03-14,Spring,2,747,3049.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
82,Christina Burke,dannyarnold@hotmail.com,+1-325-975-7864x2939,Waterproof Shoes,4,1093,4372,2024-07-18,Monsoon,4,255,1093.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
83,David Adkins,stephanie80@yahoo.com,001-932-028-2779x970,Sandals,4,2611,10444,2023-08-07,Summer,0,601,2611.0,2,Lost Customers,Re-engagement Emails & Offers
84,Vanessa Owens,drewortiz@gmail.com,+1-707-906-3239x176,Loafers,4,4274,17096,2024-10-28,Autumn,3,153,4274.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
85,Kiara Thomas,michaelboyd@yahoo.com,(888)817-6055,Cardigan,3,4980,14940,2023-09-02,Autumn,3,575,4980.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
86,Tabitha Robinson,cameronandrew@gmail.com,001-779-401-7068x8914,Sunglasses,3,4008,12024,2023-06-25,Summer,0,644,4008.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
87,Jeffrey Knight,monica39@martinez.com,001-494-869-2539x5405,Jeans,3,4146,12438,2024-03-07,Spring,2,388,4146.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
88,Sharon Brooks,kerri43@hotmail.com,060.005.1115x045,Waterproof Shoes,1,1599,1599,2025-06-01,Monsoon,4,-63,1599.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
89,Joshua Hopkins,luismyers@roberts-dominguez.com,804-857-1630,Blazer,2,4099,8198,2023-10-07,Autumn,3,540,4099.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
90,Kenneth Contreras,brittanyrogers@yahoo.com,(071)034-1092x246,Cardigan,1,3499,3499,2023-09-09,Autumn,3,568,3499.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
91,Samantha Moreno,ogarza@gmail.com,001-603-293-5308x1030,Jeans,1,4301,4301,2023-03-01,Spring,2,760,4301.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
92,Christopher Scott,cwelch@hotmail.com,875-511-4227,Loafers,3,3963,11889,2023-09-27,Autumn,3,550,3963.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
93,Arthur Young,jenniferhernandez@yahoo.com,3725727308,Sneakers,2,4737,9474,2024-05-08,Spring,2,326,4737.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
94,Amanda Grimes,jennifer14@hotmail.com,985-976-9339,Scarf,3,4322,12966,2024-01-20,Winter,1,435,4322.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
95,Kenneth Williams,angela59@obrien-rivera.com,846.461.7728x520,Cardigan,2,3392,6784,2025-11-05,Autumn,3,-220,3392.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
96,John Monroe,ryan51@smith.com,+1-103-275-5698x71624,Scarf,3,549,1647,2023-12-26,Winter,1,460,549.0,2,Lost Customers,Re-engagement Emails & Offers
97,Regina Savage,angelawashington@hopkins.org,4967081028,Boots,4,3786,15144,2024-02-28,Winter,1,396,3786.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
98,Kimberly Carr,ryan60@cordova.org,001-495-294-6821x6770,Jacket,2,2447,4894,2023-12-23,Winter,1,463,2447.0,2,Lost Customers,Re-engagement Emails & Offers
99,Laura Schaefer,tsmith@gmail.com,993.250.0277,Full-Sleeve Shirt,5,1337,6685,2023-10-24,Autumn,3,523,1337.0,2,Lost Customers,Re-engagement Emails & Offers
100,Zachary Velez,barnesjasmine@phillips.net,+1-305-552-3140x0633,Umbrella,4,3871,15484,2024-06-24,Monsoon,4,279,3871.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
101,Ronald Sullivan,mwalker@larsen-contreras.com,+1-461-650-4459x969,Sunglasses,4,4536,18144,2024-07-20,Summer,0,253,4536.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
102,Virginia Berry,elizabeth51@yahoo.com,951.734.7183x060,Blazer,5,4726,23630,2024-09-27,Autumn,3,184,4726.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
103,Kathryn Palmer,phillipmurphy@yahoo.com,298-307-3601,Sneakers,3,4095,12285,2023-05-14,Spring,2,686,4095.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
104,Charles Jones,tanya46@hotmail.com,5269251037,Light Jacket,1,1530,1530,2024-05-23,Spring,2,311,1530.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
105,Shannon Williams,karen45@yahoo.com,470-915-5560x9486,Light Jacket,1,3355,3355,2023-04-07,Spring,2,723,3355.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
106,Lawrence Johnson,walkerrobert@brown.com,417-018-2107,T-Shirt,5,979,4895,2024-03-17,Spring,2,378,979.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
107,Jack Evans,eddie13@yahoo.com,001-851-355-6084x331,Raincoat,2,3168,6336,2024-09-28,Monsoon,4,183,3168.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
108,Mark Coleman,paul84@williams-johnson.com,(588)741-9222,Sweater,5,2376,11880,2023-02-11,Winter,1,778,2376.0,2,Lost Customers,Re-engagement Emails & Offers
109,Ellen Robinson,melissa15@gmail.com,001-384-021-9419x0224,T-Shirt,3,693,2079,2024-05-12,Spring,2,322,693.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
110,Billy Kelly,mmayo@bell.com,(560)386-3102x890,Waterproof Shoes,1,3571,3571,2024-06-28,Monsoon,4,275,3571.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
111,Julia Dixon,kathybanks@matthews.org,+1-375-419-9333x173,Tank Top,4,2708,10832,2023-07-16,Summer,0,623,2708.0,2,Lost Customers,Re-engagement Emails & Offers
112,Matthew Walters,theresajackson@yahoo.com,(532)271-4483x92286,Sunglasses,3,2260,6780,2024-06-07,Summer,0,296,2260.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
113,Jessica Rowe,mdavis@miller.info,123-552-0354,Boots,5,2606,13030,2025-01-04,Winter,1,85,2606.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
114,Ronald Gutierrez,antonio41@todd.com,491-556-5430,Umbrella,4,3371,13484,2023-07-26,Monsoon,4,613,3371.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
115,Abigail Dominguez,evanskatherine@horton.com,001-939-304-1423x57507,Sweater,5,3564,17820,2023-01-01,Winter,1,819,3564.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
116,Patricia Blackwell,baldwingeorge@vasquez.biz,355-260-8885,Light Jacket,2,2248,4496,2024-04-07,Spring,2,357,2248.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
117,Lisa Taylor,dominguezsamantha@peters.net,+1-405-590-5527x071,Blazer,2,2510,5020,2024-09-15,Autumn,3,196,2510.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
118,Vanessa Richard,peterskara@hotmail.com,135-133-7471,Scarf,4,2435,9740,2023-01-21,Winter,1,799,2435.0,2,Lost Customers,Re-engagement Emails & Offers
119,Jordan Garcia,meyerlori@gmail.com,001-972-187-3094,Blazer,4,4073,16292,2023-10-12,Autumn,3,535,4073.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
120,Tommy Baldwin,michellespencer@delgado.com,4480966229,Umbrella,3,3009,9027,2023-07-09,Monsoon,4,630,3009.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
121,Lisa Morales,toni65@dean.com,(878)793-3737,Blazer,5,648,3240,2023-09-26,Autumn,3,551,648.0,2,Lost Customers,Re-engagement Emails & Offers
122,Brian Whitaker,epowers@hotmail.com,(268)367-9257x85303,Scarf,1,3144,3144,2024-01-01,Winter,1,454,3144.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
123,Lindsey Kaufman,paulbrooks@cain-kelley.com,351.948.7989x6682,Waterproof Shoes,1,4758,4758,2024-07-07,Monsoon,4,266,4758.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
124,Tyler Johnson,travisstewart@hotmail.com,388.022.6775x08902,Full-Sleeve Shirt,1,4590,4590,2024-10-28,Autumn,3,153,4590.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
125,Austin Hart,kristin84@nunez.com,0563218891,T-Shirt,4,3332,13328,2024-03-25,Spring,2,370,3332.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
126,Brian Moore,danielle01@yahoo.com,+1-801-086-4436,Scarf,5,3405,17025,2024-12-28,Winter,1,92,3405.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
127,Melissa Hudson,amaxwell@gmail.com,104.936.8073,Waterproof Shoes,1,2446,2446,2024-06-05,Monsoon,4,298,2446.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
128,Christina Curtis,tsteele@taylor.org,(268)783-9754x42368,Loafers,3,951,2853,2023-10-13,Autumn,3,534,951.0,2,Lost Customers,Re-engagement Emails & Offers
129,Zachary Sullivan,juan95@yahoo.com,183-343-9032,Shorts,2,4063,8126,2024-07-19,Summer,0,254,4063.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
130,Jack Lewis,floresgary@anderson.net,001-968-290-2505x123,Raincoat,1,1560,1560,2023-06-09,Monsoon,4,660,1560.0,2,Lost Customers,Re-engagement Emails & Offers
131,Zachary Avila,ronald09@gmail.com,396-115-5495x42816,Tank Top,3,1861,5583,2024-06-17,Summer,0,286,1861.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
132,Laura Johnson,james10@hotmail.com,(135)142-2161,Boots,4,612,2448,2023-12-04,Winter,1,482,612.0,2,Lost Customers,Re-engagement Emails & Offers
133,Krystal Little,fstevens@boyer.com,006.018.2304,Loafers,2,4920,9840,2024-09-21,Autumn,3,190,4920.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
134,Lisa Gibbs,ljones@parrish.org,254-892-0837x65698,Blazer,1,2216,2216,2023-10-18,Autumn,3,529,2216.0,2,Lost Customers,Re-engagement Emails & Offers
135,Jennifer Miles,amy48@anderson.biz,001-964-076-8393x98903,Boots,4,4566,18264,2024-01-28,Winter,1,427,4566.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
136,Mr. Ryan May,martinmia@yahoo.com,184.396.2232,Umbrella,1,1293,1293,2024-07-09,Monsoon,4,264,1293.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
137,Gary Perez,vhogan@chavez.com,+1-534-865-9533x68587,Raincoat,4,1487,5948,2024-07-03,Monsoon,4,270,1487.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
138,Susan Lopez,fraziercynthia@hotmail.com,213-294-2431x6070,Tank Top,1,3284,3284,2024-07-18,Summer,0,255,3284.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
139,Audrey Li,mary03@nguyen-haynes.biz,450-740-0857,Full-Sleeve Shirt,2,3969,7938,2024-10-27,Autumn,3,154,3969.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
140,Stephanie Goodman,kaylarose@arnold.com,+1-549-998-5062x3209,Umbrella,2,1001,2002,2024-07-04,Monsoon,4,269,1001.0,0,Low-Value Frequent Buyers,Discount Coupons & Loyalty Programs
141,Breanna Hayes,nguyenlinda@smith-charles.com,1892029987,Raincoat,2,1522,3044,2023-06-22,Monsoon,4,647,1522.0,2,Lost Customers,Re-engagement Emails & Offers
142,Sonia Mccormick,blankenshipcolleen@sullivan-patrick.biz,364-049-6782x9429,Jeans,2,3546,7092,2025-05-08,Spring,2,-39,3546.0,1,High-Value Loyal Customers,Exclusive Membership & VIP Rewards
143,Gary Allen,louis18@robbins.com,568-369-9108,Sneakers,5,4052,20260,2023-03-05,Spring,2,756,4052.0,3,Seasonal Buyers,Seasonal Promotions & Personalized Offers
